中部西部|湖南|长沙|http://www.dianping.com/changsha|长沙万达文华酒店|/shop/7995767|中山亭|步行至太平街8分钟|豪华型&风景不错&游泳池赞&服务好&交通方便&很干净&位置好&睡眠舒适&房间大&早餐很棒&很安静&性价比高&设施新|￥2332|sml-str0|地址：湘江中路一段308号(中山路口)|0731-88008888
中部西部|湖南|长沙|http://www.dianping.com/changsha|金辉大酒店|/shop/2277760|黄土岭|1km内无地铁站|四星级酒店&很干净&交通方便&早餐很棒&房间大&性价比高&位置好&服务好&很安静|￥288|sml-str35|地址：黄土岭路187号(近雨花路)|0731-85608888 0731-85608008
中部西部|湖南|长沙|http://www.dianping.com/changsha|晟通国际商务中心|/shop/5558964|望城区|1km内无地铁站|高档型&很干净|￥199|sml-str40|地址：金星北路109号(近望城经济开发区)|0731-88319999 0731-82731228
中部西部|湖南|长沙|http://www.dianping.com/changsha|顺天·黄金海岸大酒店|/shop/11010164|湘江世纪城|1km内无地铁站|四星级酒店&交通方便&服务好&很干净|￥353|sml-str35|地址：芙蓉北路福城路98号|0731-82883333 18684687318
中部西部|湖南|长沙|http://www.dianping.com/changsha|天龙大酒店|/shop/2328049|桂花路/左家塘|步行至天心阁21分钟|高档型&交通方便&房间大&很干净|￥466|sml-str40|地址：韶山北路299号(市妇幼)|0731-84188777
中部西部|湖南|长沙|http://www.dianping.com/changsha|天成国际大酒店|/shop/5170622|星沙经济开发区|1km内无地铁站|高档型|￥198|sml-str35|地址：星沙镇板仓路123号|0731-84021288 0731-84021299
中部西部|湖南|长沙|http://www.dianping.com/changsha|乐途商务酒店|/shop/13709886|晚报大道|步行至马王堆汉墓遗址6分钟|经济型&房间大&很干净|￥99|sml-str35|地址：万家丽北路569号银港水晶城C1栋5楼(好润佳超市旁)|0731-85886999
中部西部|湖南|长沙|http://www.dianping.com/changsha|欧帝佳酒店|/shop/11016438|杨家山|1km内无地铁站|经济型&很干净|￥149|sml-str35|地址：万家丽中路188号4楼|0731-85360333 0731-85364333
中部西部|湖南|长沙|http://www.dianping.com/changsha|99旅馆连锁|/shop/17145450|马王堆|步行至马王堆汉墓遗址4分钟|经济型&很干净&性价比高&交通方便|￥79|sml-str35|地址：万家丽北路三段569号银港水晶A7栋5楼|0731-85652999
中部西部|湖南|长沙|http://www.dianping.com/changsha|天怡青年酒店|/shop/5559026|新省政府|1km内无地铁站|舒适型&很安静&交通方便|￥100|sml-str35|地址：湘府西路1号(新省政府南门对面)|0731-84351666
中部西部|湖南|长沙|http://www.dianping.com/changsha|恒楚·阳光酒店|/shop/14890936|宁乡大道|1km内无地铁站|舒适型&交通方便||sml-str45|地址：宁乡大道与新康路交汇处西北角|0731-87218999
中部西部|湖南|长沙|http://www.dianping.com/changsha|自由港公寓酒店|/shop/5427885|湘雅|步行至古开福寺9分钟|经济型|￥88|sml-str35|地址：潘家坪芙蓉中路一段198号名富公寓2117接待室(好来登酒店对面，锦锈华天旁)|0731-84282526 15388028832
中部西部|湖南|长沙|http://www.dianping.com/changsha|唯美99爱情酒店|/shop/13758823|人民中路|步行至天心阁19分钟|经济型||sml-str30|地址：韶山北路254号汇富中心B栋1807房(近湖南省人民医院)|0731-88192166
中部西部|湖南|长沙|http://www.dianping.com/changsha|雷达山庄|/shop/18473544|黄花镇/黄花机场|1km内无地铁站|经济型|￥97|sml-str35|地址：黄花镇高岸村六组(爱车之家旁，长沙黄花国际机场)|15116378878
中部西部|湖南|长沙|http://www.dianping.com/changsha|雷达连锁酒店|/shop/20955537|黄花镇/黄花机场|1km内无地铁站|经济型&老板人很好|￥148|sml-str35|地址：大元路盛地领航城4栋105室|13975860870
中部西部|湖南|长沙|http://www.dianping.com/changsha|盛港大酒店|/shop/23320070|马王堆|1km内无地铁站|经济型|￥218|sml-str35|地址：长沙大道东城港家园580号1栋(地铁2号线长沙大道站1号出口即到)|0731-82732066 0731-82736899
中部西部|湖南|长沙|http://www.dianping.com/changsha|长沙湘麓山庄|/shop/11009001|市政府|1km内无地铁站|高档型&中式古典风||sml-str35|地址：岳麓大道388号，近芙蓉路桥|0731-88633088
中部西部|湖南|长沙|http://www.dianping.com/changsha|佳兴8090公寓酒店|/shop/23254817|咸嘉湖|1km内无地铁站|经济型|￥129|sml-str35|地址：咸嘉湖西路67号佳兴国际汇广场三栋公寓楼一楼|0731-82225133
中部西部|湖南|长沙|http://www.dianping.com/changsha|秦和大酒店|/shop/5105362|伍家岭|步行至古开福寺3分钟|经济型|￥112|sml-str30|地址：华夏路119号(新一佳旁)|0731-84477177
中部西部|湖南|长沙|http://www.dianping.com/changsha|钻石人生商务酒店|/shop/16720187|其他地区|1km内无地铁站|经济型|￥89|sml-str20|地址：浏阳工业园生物医药园洞阳镇物流中心健寿大道77号星岛花园A栋1号|0731-83040666
中部西部|湖南|长沙|http://www.dianping.com/changsha|青苹果家庭旅馆|/shop/22682308|岳麓区|1km内无地铁站|经济型||sml-str30|地址：麓松路一师安置小区B9栋一单元|13739094016
