华东地区|江苏|连云港|http://www.dianping.com/lianyuangang|连云港花果山酒店|/shop/19179825|花果山|步行至蟠桃盛会生态园6分钟|豪华型&房间奢华&服务好&交通方便&很干净&位置好&早餐很棒&房间大&设施新&很安静|￥468|sml-str50|地址：花果山大道98号|0518-81089999
华东地区|江苏|连云港|http://www.dianping.com/lianyuangang|连云港明珠开君国际酒店|/shop/13880253|连云区||豪华型|￥371|sml-str40|地址：中山中路588号|0518-82328888
华东地区|江苏|连云港|http://www.dianping.com/lianyuangang|伊山宾馆|/shop/5182424|灌云县其他|步行至大伊山风景区11分钟|舒适型|￥79|sml-str35|地址：宾馆路5号|0518-88855888
华东地区|江苏|连云港|http://www.dianping.com/lianyuangang|中山宾馆|/shop/5173334|连云区||高档型&很干净&交通方便|￥120|sml-str40|地址：中山西路38号|0518-82339888
华东地区|江苏|连云港|http://www.dianping.com/lianyuangang|连云港和安湖国际大酒店|/shop/22305109|赣榆县其他||豪华型|￥348|sml-str40|地址：银滩路8号|0518-86981111 0518-86982222
华东地区|江苏|连云港|http://www.dianping.com/lianyuangang|财苑宾馆|/shop/17203826|灌南县其他||经济型|￥118|sml-str35|地址：人民东路新安南路交汇处东北角30米(原财政局院内)|0518-85339999
华东地区|江苏|连云港|http://www.dianping.com/lianyuangang|连岛安逸度假中心|/shop/13695463|连岛|步行至连岛景区3分钟|经济型||sml-str35|地址：连岛中路1号金海岸度假村6栋121室|0518-82600620
华东地区|江苏|连云港|http://www.dianping.com/lianyuangang|蓝色夏日宾馆|/shop/8952776|连岛|步行至连岛景区1分钟|经济型|￥69|sml-str35|地址：连岛中路2号(连岛海滨浴场旁)|0518-82601112 13776593011
华东地区|江苏|连云港|http://www.dianping.com/lianyuangang|碧海国际酒店|/shop/19747685|赣榆县其他||三星级酒店|￥218|sml-str20|地址：黄海路85号观澜国际北侧(司法局对面)|0518-86989999 0518-86980888
华东地区|江苏|连云港|http://www.dianping.com/lianyuangang|连云港东海名郡大酒店|/shop/19747612|海州区||高档型|￥208|sml-str30|地址：孔望山路9号(东海名郡小区斜对面)|0518-86090333 0518-86090666
华东地区|江苏|连云港|http://www.dianping.com/lianyuangang|远洋宾馆|/shop/4723069|连云区||舒适型|￥198|sml-str30|地址：中山中路195号|0518-82310285
华东地区|江苏|连云港|http://www.dianping.com/lianyuangang|连岛海之恋宾馆|/shop/13760361|连岛|步行至连岛景区3分钟|经济型&老板人很好|￥109|sml-str30|地址：连岛镇连岛中路金海岸度假村5号楼(海滨浴场旁)|0518-82601988 0518-82600134
华东地区|江苏|连云港|http://www.dianping.com/lianyuangang|金沙湾假日中心|/shop/18882669|连岛|步行至连岛景区4分钟|经济型||sml-str35|地址：连岛度假区二十一世纪金海岸度假村3号楼|0518-82600880 15996142927
华东地区|江苏|连云港|http://www.dianping.com/lianyuangang|连云港东盛四季大酒店|/shop/18167950|连云区||高档型&位置好&很干净&房间大|￥191|sml-str20|地址：大港路四季花城B1座院前北路180号|0518-82318889
华东地区|江苏|连云港|http://www.dianping.com/lianyuangang|爱情海假日中心|/shop/6096886|连岛|步行至连岛景区5分钟|经济型||sml-str35|地址：连岛中路2号(连岛金海岸度假村4号楼)|0518-82600886 15996149955
华东地区|江苏|连云港|http://www.dianping.com/lianyuangang|铭豪凤凰精品酒店|/shop/24886767|朝阳路||舒适型||sml-str35|地址：朝阳东路36号(市政府对面)|0518-85018888
华东地区|江苏|连云港|http://www.dianping.com/lianyuangang|清和园宾馆|/shop/22569969|灌云县其他||经济型|￥80|sml-str35|地址：向阳路25号|0518-88839888
华东地区|江苏|连云港|http://www.dianping.com/lianyuangang|丽景海湾假日中心|/shop/19747688|连岛||经济型||sml-str20|地址：连岛风景区连岛中路1号|0518-80982195 13815666416
华东地区|江苏|连云港|http://www.dianping.com/lianyuangang|连岛海天一色海景酒店|/shop/6072524|连岛|步行至连岛景区5分钟|经济型|￥80|sml-str20|地址：连岛中路1号（连岛金海岸度假村内）7号楼|0518-80982195
华东地区|江苏|连云港|http://www.dianping.com/lianyuangang|海中央精品酒店|/shop/6215030|连岛|步行至连岛景区5分钟|经济型||sml-str35|地址：连岛21世纪金海岸度假村4栋149号|0518-82600620 13236335313
华东地区|江苏|连云港|http://www.dianping.com/lianyuangang|连岛看海宾馆|/shop/14198150|连云区|步行至连岛景区4分钟|经济型||sml-str30|地址：连岛中路2号(连岛金海岸度假村内)|0518-82600058 13851225815
华东地区|江苏|连云港|http://www.dianping.com/lianyuangang|连云港海梦情缘假日中心|/shop/13760362|连岛|步行至连岛景区5分钟|经济型||sml-str30|地址：连岛环岛中路2号(21世纪黄金海岸度假村内)|15312118983 13851207920
华东地区|江苏|连云港|http://www.dianping.com/lianyuangang|海誓山盟酒店|/shop/13687344|连岛|步行至连岛景区3分钟|经济型||sml-str30|地址：连岛中路1号金海岸度假村1栋131室(海滨度假区，近连岛海水浴场)|13236335313
华东地区|江苏|连云港|http://www.dianping.com/lianyuangang|连岛海景公寓|/shop/4181103|连岛|步行至连岛景区5分钟|经济型||sml-str20|地址：连岛21世纪金海岸度假村6栋6号(海滨浴场4AAAA风景区内)|0518-82322229 13815653370
华东地区|江苏|连云港|http://www.dianping.com/lianyuangang|九龙国际大酒店|/shop/2604853|南极路|步行至海滨浴场8分钟|高档型&很干净&服务好&交通方便&位置好&早餐很棒&房间大&性价比高|￥218|sml-str40|地址：解放中路11号|0518-85686888 0518-85686666
华东地区|江苏|连云港|http://www.dianping.com/lianyuangang|山海国际酒店|/shop/11866370|朝阳路|步行至云台山16分钟|高档型|￥285|sml-str35|地址：新浦区学院路8号(近苍梧路)|0518-81088222 0518-81088300
