中部西部|湖南|长沙|http://www.dianping.com/changsha|长沙万达文华酒店|/shop/7995767|中山亭|步行至太平街8分钟|豪华型&风景不错&游泳池赞&服务好&交通方便&很干净&位置好&睡眠舒适&房间大&早餐很棒&很安静&性价比高&设施新|￥2332|sml-str0
中部西部|湖南|长沙|http://www.dianping.com/changsha|长沙普瑞酒店|/shop/1886593|市政府|1km内无地铁站|豪华型&温泉不错&高尔夫&服务好&很干净&很安静&早餐很棒&交通方便|￥542|sml-str40
中部西部|湖南|长沙|http://www.dianping.com/changsha|枫林宾馆|/shop/4280771|溁湾镇/新外滩|步行至蔡锷墓11分钟|四星级酒店&风景不错&很安静&交通方便&位置好&很干净&房间大&早餐很棒|￥8888|sml-str40
中部西部|湖南|长沙|http://www.dianping.com/changsha|长沙隆华国际酒店|/shop/13897359|汽车东站|1km内无地铁站|豪华型&很干净&位置好&服务好|￥567|sml-str40
中部西部|湖南|长沙|http://www.dianping.com/changsha|长沙延年世纪酒店|/shop/5559290|四方坪|1km内无地铁站|高档型&很干净&交通方便&服务好&早餐很棒&性价比高&位置好&很安静|￥445|sml-str40
中部西部|湖南|长沙|http://www.dianping.com/changsha|维也纳国际酒店|/shop/22053180|高桥|1km内无地铁站|高档型&风景不错&很干净&很安静|￥315|sml-str50
中部西部|湖南|长沙|http://www.dianping.com/changsha|兴威华天大酒店|/shop/5559183|新开铺|步行至南郊公园11分钟|高档型&很干净&位置好&交通方便&性价比高|￥298|sml-str40
中部西部|湖南|长沙|http://www.dianping.com/changsha|宁乡碧桂园凤凰酒店|/shop/5558117|步行街|1km内无地铁站|豪华型&很干净&房间大|￥449|sml-str45
中部西部|湖南|长沙|http://www.dianping.com/changsha|明城国际大酒店|/shop/2327974|长沙县|1km内无地铁站|五星级酒店&服务好&交通方便&很干净&早餐很棒&性价比高&位置好&很安静|￥529|sml-str40
中部西部|湖南|长沙|http://www.dianping.com/changsha|湖南财信国际商务酒店|/shop/2609401|天心阁/白沙井|步行至天心阁4分钟|豪华型&位置好&交通方便&服务好&很干净|￥530|sml-str40
中部西部|湖南|长沙|http://www.dianping.com/changsha|长沙三景韦尔斯利酒店|/shop/21734812|长沙县|1km内无地铁站|豪华型&很干净&交通方便&服务好|￥558|sml-str40
中部西部|湖南|长沙|http://www.dianping.com/changsha|立达人酒店|/shop/5558445|新省政府|1km内无地铁站|豪华型&很安静&很干净&服务好&房间大&性价比高&交通方便&睡眠舒适|￥542|sml-str40
中部西部|湖南|长沙|http://www.dianping.com/changsha|华悦大酒店|/shop/6253886|伍家岭|步行至古开福寺11分钟|四星级酒店&交通方便&很干净&很安静|￥430|sml-str35
中部西部|湖南|长沙|http://www.dianping.com/changsha|银天大酒店|/shop/4195334|天马路/将军路|1km内无地铁站|豪华型&风景不错&交通方便&服务好&很干净&早餐很棒&位置好&房间大&睡眠舒适|￥448|sml-str40
中部西部|湖南|长沙|http://www.dianping.com/changsha|金辉大酒店|/shop/2277760|黄土岭|1km内无地铁站|四星级酒店&很干净&交通方便&早餐很棒&房间大&性价比高&位置好&服务好&很安静|￥288|sml-str35
中部西部|湖南|长沙|http://www.dianping.com/changsha|晟通国际商务中心|/shop/5558964|望城区|1km内无地铁站|高档型&很干净|￥199|sml-str40
中部西部|湖南|长沙|http://www.dianping.com/changsha|顺天·黄金海岸大酒店|/shop/11010164|湘江世纪城|1km内无地铁站|四星级酒店&交通方便&服务好&很干净|￥353|sml-str35
中部西部|湖南|长沙|http://www.dianping.com/changsha|天龙大酒店|/shop/2328049|桂花路/左家塘|步行至天心阁21分钟|高档型&交通方便&房间大&很干净|￥466|sml-str40
中部西部|湖南|长沙|http://www.dianping.com/changsha|天成国际大酒店|/shop/5170622|星沙经济开发区|1km内无地铁站|高档型|￥198|sml-str35
中部西部|湖南|长沙|http://www.dianping.com/changsha|乐途商务酒店|/shop/13709886|晚报大道|步行至马王堆汉墓遗址6分钟|经济型&房间大&很干净|￥99|sml-str35
中部西部|湖南|长沙|http://www.dianping.com/changsha|欧帝佳酒店|/shop/11016438|杨家山|1km内无地铁站|经济型&很干净|￥149|sml-str35
中部西部|湖南|长沙|http://www.dianping.com/changsha|99旅馆连锁|/shop/17145450|马王堆|步行至马王堆汉墓遗址4分钟|经济型&很干净&性价比高&交通方便|￥79|sml-str35
中部西部|湖南|长沙|http://www.dianping.com/changsha|天怡青年酒店|/shop/5559026|新省政府|1km内无地铁站|舒适型&很安静&交通方便|￥100|sml-str35
中部西部|湖南|长沙|http://www.dianping.com/changsha|恒楚·阳光酒店|/shop/14890936|宁乡大道|1km内无地铁站|舒适型&交通方便||sml-str45
中部西部|湖南|长沙|http://www.dianping.com/changsha|自由港公寓酒店|/shop/5427885|湘雅|步行至古开福寺9分钟|经济型|￥88|sml-str35
中部西部|湖南|长沙|http://www.dianping.com/changsha|唯美99爱情酒店|/shop/13758823|人民中路|步行至天心阁19分钟|经济型||sml-str30
中部西部|湖南|长沙|http://www.dianping.com/changsha|雷达山庄|/shop/18473544|黄花镇/黄花机场|1km内无地铁站|经济型|￥97|sml-str35
中部西部|湖南|长沙|http://www.dianping.com/changsha|雷达连锁酒店|/shop/20955537|黄花镇/黄花机场|1km内无地铁站|经济型&老板人很好|￥148|sml-str35
中部西部|湖南|长沙|http://www.dianping.com/changsha|盛港大酒店|/shop/23320070|马王堆|1km内无地铁站|经济型|￥218|sml-str35
中部西部|湖南|长沙|http://www.dianping.com/changsha|长沙湘麓山庄|/shop/11009001|市政府|1km内无地铁站|高档型&中式古典风||sml-str35
中部西部|湖南|长沙|http://www.dianping.com/changsha|佳兴8090公寓酒店|/shop/23254817|咸嘉湖|1km内无地铁站|经济型|￥129|sml-str35
中部西部|湖南|长沙|http://www.dianping.com/changsha|秦和大酒店|/shop/5105362|伍家岭|步行至古开福寺3分钟|经济型|￥112|sml-str30
中部西部|湖南|长沙|http://www.dianping.com/changsha|钻石人生商务酒店|/shop/16720187|其他地区|1km内无地铁站|经济型|￥89|sml-str20
中部西部|湖南|长沙|http://www.dianping.com/changsha|青苹果家庭旅馆|/shop/22682308|岳麓区|1km内无地铁站|经济型||sml-str30
